Customer ID,Total Revenue
CUS-1455100,"$263,651"
CUS-1446500,"$319,650"
CUS-1469300,"$5,554"
CUS-1513900,"$1,545,711"
CUS-1459400,"$155,333"
CUS-1477650,"$14,652"
CUS-1544450,$0
CUS-340450,"$28,005,720"
CUS-960300,"$2,166,194"
CUS-1559100,"$472,712"
CUS-589150,"$2,485,587"
CUS-294600,"$791,937"
CUS-1520950,"$181,080"
CUS-1446450,$0
CUS-1510850,"$74,293"
CUS-1203300,$0
CUS-1490250,$0
CUS-1502950,$0
CUS-162100,"$2,455,549"
CUS-1524000,"$7,338"
CUS-338700,$0
CUS-1473900,"$231,831"
CUS-1490900,$0
CUS-463400,"$212,182"
CUS-1474350,"$116,175"
CUS-362300,"$47,035"
CUS-692150,"$15,439,998"
CUS-1189650,"$17,451"
CUS-1352350,"$37,019"
CUS-1352250,"$70,479"
CUS-1477750,"$1,488"
CUS-1129750,"$5,172,654"
CUS-1352450,"$61,505"
CUS-1477500,"$2,049"
CUS-1477850,$96
CUS-1352400,"$40,702"
CUS-1477550,"$3,181"
CUS-1172200,"$291,608"
CUS-1456250,"$6,756"
CUS-1489600,$0
CUS-667900,$0
CUS-208300,$66
CUS-645900,$896
CUS-1162550,"$263,215"
CUS-1430500,"$2,797,064"
CUS-1438550,"$7,906,231"
CUS-1442600,"$1,127,507"
CUS-1474600,"$940,814,277"
CUS-1558100,"$257,468"
CUS-1466150,"$53,396"
CUS-1252550,"$78,811,893"
CUS-1470750,"$739,056"
CUS-1542650,$239
CUS-1461950,$0
CUS-166250,"$262,212"
CUS-1501150,"$628,610"
CUS-1482250,"$3,477"
CUS-1483100,$0
CUS-1501700,"$890,350"
CUS-1472300,$0
CUS-1501250,"$82,619"
CUS-151150,"$45,076,028"
CUS-778300,"$358,169"
CUS-1478550,"$623,217"
CUS-1446550,"$41,333"
CUS-1462300,"$57,458"
CUS-314750,"$30,689"
