Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-683100,4,1475
CUS-1496700,27,532
CUS-304750,13,742
CUS-1166050,2,603
CUS-1444300,14,443
CUS-806850,10,348
CUS-807100,14,595
CUS-152050,4,493
CUS-199600,26,660
CUS-1537400,2,551
CUS-1549400,12,227
CUS-1206000,25,1121
CUS-704850,13,1562
CUS-1487750,2,363
CUS-1453950,4,877
CUS-1052100,6,2114
CUS-158500,6,1787
CUS-627000,46,867
CUS-1570200,2,84
CUS-1450850,14,399
CUS-1482700,8,649
CUS-680600,2,262
CUS-1479950,13,1619
CUS-1506700,2,551
CUS-1518200,12,2258
CUS-160550,57,741
CUS-338100,2,383
CUS-159300,1,1453
CUS-1471750,1,277
CUS-1484500,48,624
CUS-1554050,7,353
CUS-166150,27,756
CUS-1558000,7,478
CUS-1472600,4,1939
CUS-1520050,2,195
CUS-166700,33,1231
CUS-1478050,17,340
CUS-1457050,24,562
CUS-1466200,7,1352
CUS-1347050,7,344
CUS-1455650,4,825
CUS-1450750,37,637
CUS-295550,2,25
CUS-1470700,5,926
CUS-1607700,5,676
CUS-1474650,11,2270
CUS-1449800,2,1123
CUS-1068750,1,3922
CUS-1475750,16,458
CUS-597950,1,1496
CUS-1472650,8,1529
CUS-1473300,4,1122
CUS-1438700,10,1290
CUS-1440250,17,517
CUS-160150,186,685
CUS-1134350,6,855
CUS-1480300,2,591
CUS-1450100,21,378
CUS-1040600,36,812
CUS-1025800,9,965
CUS-792350,48,926
CUS-1444500,12,304
CUS-711000,77,754
CUS-1047150,34,674
CUS-832650,36,590
CUS-1489750,90,393
CUS-1564700,2,142
CUS-1554550,4,134
CUS-1600250,1,679
CUS-1262600,23,891
CUS-157750,10,445
CUS-463450,24,724
CUS-189700,1,377
CUS-1469200,1,733
CUS-1492600,35,1187
CUS-1525000,42,513
CUS-1572850,2,312
CUS-156650,13,1018
CUS-548200,2,299
CUS-1524250,9,100
CUS-812200,26,1133
CUS-1503300,14,1332
CUS-1449350,1,728
CUS-1585050,11,497
CUS-1006000,1,1789
CUS-1469800,9,365
CUS-156000,31,819
CUS-424350,18,834
CUS-547450,14,596
CUS-1293150,42,775
